,Carreras,Funciones,Edificios,Salas
0,Arquitectura,Docente,A,200
1,Bachillerato en Derecho: Ciencias Sociales y Humanidades,Investigador,B,201
2,Bachillerato en Diseno,Jefe de carrera,C,202
3,Bachillerato en Enfermeria,,D,203
4,Bachillerato en Ingenieria Comercial,,E,204
5,Bachillerato en Psicologia,,F,205
6,Ciencia Politica y Politicas Publicas,,G,206
7,Cine y Comunicacion Audiovisual,,H,207
8,Derecho,,I,208
9,Diseno,,J,209
10,Enfermeria,,K,210
11,Geologia,,L,
12,Global Business Administration,,M,
13,Ingenieria Civil en BioMedicina,,,
14,Ingenieria Civil en Informatica e Innovacion Tecnologica,,,
15,Ingenieria Civil en Informatica e Inteligencia Artificial,,,
16,Ingenieria Civil en Mineria,,,
17,Ingenieria Civil en Obras Civiles,,,
18,Ingenieria Civil Industrial Doble Titulacion,,,
19,Ingenieria Civil Plan Comun,,,
20,Ingenieria Comercial,,,
21,Kinesiologia,,,
22,Medicina,,,
23,Negocios y Ciencia de Datos,,,
24,Nutricion y Dietetica,,,
25,Obstetricia,,,
26,Odontologia,,,
27,Pedagogia en Educacion Basica con Menciones: Ingles y Educacion Especial e Inclusion,,,
28,Pedagogia en Educacion de Parvulos con Menciones: Ingles y Aprendizaje al Aire Libre,,,
29,Periodismo y Comunicacion Doble Titulacion,,,
30,Psicologia,,,
31,Publicidad y Marketing,,,
32,Quimica y Farmacia,,,
33,Tecnologia Medica,,,
34,Terapia Ocupacional,,,
