Carreras,Funciones,Edificios,Salas
Arquitectura,Docente,A,200
Bachillerato en Derecho: Ciencias Sociales y Humanidades,Investigador,B,201
Bachillerato en Diseno,Jefe de carrera,C,202
Bachillerato en Enfermeria,,D,203
Bachillerato en Ingenieria Comercial,,E,204
Bachillerato en Psicologia,,F,205
Ciencia Politica y Politicas Publicas,,G,206
Cine y Comunicacion Audiovisual,,H,207
Derecho,,I,208
Diseno,,J,209
Enfermeria,,K,210
Geologia,,L,
Global Business Administration,,M,
Ingenieria Civil en BioMedicina,,,
Ingenieria Civil en Informatica e Innovacion Tecnologica,,,
Ingenieria Civil en Informatica e Inteligencia Artificial,,,
Ingenieria Civil en Mineria,,,
Ingenieria Civil en Obras Civiles,,,
Ingenieria Civil Industrial Doble Titulacion,,,
Ingenieria Civil Plan Comun,,,
Ingenieria Comercial,,,
Kinesiologia,,,
Medicina,,,
Negocios y Ciencia de Datos,,,
Nutricion y Dietetica,,,
Obstetricia,,,
Odontologia,,,
Pedagogia en Educacion Basica con Menciones: Ingles y Educacion Especial e Inclusion,,,
Pedagogia en Educacion de Parvulos con Menciones: Ingles y Aprendizaje al Aire Libre,,,
Periodismo y Comunicacion Doble Titulacion,,,
Psicologia,,,
Publicidad y Marketing,,,
Quimica y Farmacia,,,
Tecnologia Medica,,,
Terapia Ocupacional,,,
